
 [*] Set cuda: True
 [*] Loading dataset...
 [*] pre_apn_epoch[2], || pre_apn_iter 3600 || pre_apn_loss: 0.0229 || Timer: 0.1485sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3620 || pre_apn_loss: 0.0412 || Timer: 0.1534sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3640 || pre_apn_loss: 0.0113 || Timer: 0.1542sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3660 || pre_apn_loss: 0.0211 || Timer: 0.1422sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3680 || pre_apn_loss: 0.0306 || Timer: 0.1438sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3700 || pre_apn_loss: 0.0191 || Timer: 0.1414sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3720 || pre_apn_loss: 0.0450 || Timer: 0.1446sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3740 || pre_apn_loss: 0.0249 || Timer: 0.1434sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3760 || pre_apn_loss: 0.0188 || Timer: 0.1444sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3780 || pre_apn_loss: 0.0184 || Timer: 0.1655sec
(375, 500, 3)
 [*] pre_apn_epoch[2], || pre_apn_iter 3800 || pre_apn_loss: 0.0207 || Timer: 0.1451sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3820 || pre_apn_loss: 0.0299 || Timer: 0.1460sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3840 || pre_apn_loss: 0.0125 || Timer: 0.1449sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3860 || pre_apn_loss: 0.0232 || Timer: 0.1696sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3880 || pre_apn_loss: 0.0092 || Timer: 0.1426sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3900 || pre_apn_loss: 0.0202 || Timer: 0.1444sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3920 || pre_apn_loss: 0.0139 || Timer: 0.1449sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3940 || pre_apn_loss: 0.0405 || Timer: 0.1434sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3960 || pre_apn_loss: 0.0211 || Timer: 0.1419sec
 [*] pre_apn_epoch[2], || pre_apn_iter 3980 || pre_apn_loss: 0.0306 || Timer: 0.1423sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4000 || pre_apn_loss: 0.0480 || Timer: 0.1435sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4020 || pre_apn_loss: 0.0344 || Timer: 0.1433sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4040 || pre_apn_loss: 0.0469 || Timer: 0.1430sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4060 || pre_apn_loss: 0.0333 || Timer: 0.1413sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4080 || pre_apn_loss: 0.0636 || Timer: 0.1423sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4100 || pre_apn_loss: 0.0245 || Timer: 0.1438sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4120 || pre_apn_loss: 0.0284 || Timer: 0.1512sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4140 || pre_apn_loss: 0.0186 || Timer: 0.1425sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4160 || pre_apn_loss: 0.0202 || Timer: 0.1464sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4180 || pre_apn_loss: 0.0394 || Timer: 0.1438sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4200 || pre_apn_loss: 0.0509 || Timer: 0.1433sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4220 || pre_apn_loss: 0.0326 || Timer: 0.1439sec
(281, 500, 3)
 [*] pre_apn_epoch[2], || pre_apn_iter 4240 || pre_apn_loss: 0.0404 || Timer: 0.1429sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4260 || pre_apn_loss: 0.0230 || Timer: 0.1437sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4280 || pre_apn_loss: 0.0192 || Timer: 0.1433sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4300 || pre_apn_loss: 0.0092 || Timer: 0.1433sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4320 || pre_apn_loss: 0.0619 || Timer: 0.1442sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4340 || pre_apn_loss: 0.0160 || Timer: 0.1427sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4360 || pre_apn_loss: 0.0414 || Timer: 0.1424sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4380 || pre_apn_loss: 0.0258 || Timer: 0.1424sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4400 || pre_apn_loss: 0.0303 || Timer: 0.1426sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4420 || pre_apn_loss: 0.0292 || Timer: 0.1435sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4440 || pre_apn_loss: 0.0150 || Timer: 0.1438sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4460 || pre_apn_loss: 0.0246 || Timer: 0.1434sec
 [*] pre_apn_epoch[2], || pre_apn_iter 4480 || pre_apn_loss: 0.0300 || Timer: 0.1442sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4500 || pre_apn_loss: 0.0494 || Timer: 0.1436sec
(281, 500, 3)
 [*] pre_apn_epoch[3], || pre_apn_iter 4520 || pre_apn_loss: 0.0202 || Timer: 0.1441sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4540 || pre_apn_loss: 0.0540 || Timer: 0.1441sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4560 || pre_apn_loss: 0.0103 || Timer: 0.1431sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4580 || pre_apn_loss: 0.0161 || Timer: 0.1429sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4600 || pre_apn_loss: 0.0191 || Timer: 0.1436sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4620 || pre_apn_loss: 0.0313 || Timer: 0.1442sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4640 || pre_apn_loss: 0.0171 || Timer: 0.1441sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4660 || pre_apn_loss: 0.0590 || Timer: 0.1438sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4680 || pre_apn_loss: 0.0259 || Timer: 0.1444sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4700 || pre_apn_loss: 0.0307 || Timer: 0.1446sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4720 || pre_apn_loss: 0.0415 || Timer: 0.1442sec
 [*] pre_apn_epoch[3], || pre_apn_iter 4740 || pre_apn_loss: 0.0231 || Timer: 0.1435sec
